Chnlen,StpPct,nObs,Equity,EquityMax,MaxDrawdown,NumTrades,NumPositiveTrades,PctPosTrade,AvgWinner,AvgLooser,DeltaMean,DeltaSum2_C,DeltaSum3_C,DeltaSum4_C,Var,Std,Skew,XKurt
10,0.005,169317,1.21821e+06,1.22658e+06,-27747.7,13437.5,2400.5,0.178642,2424.85,-2205.58,6.01365,1.25655e+10,1.45238e+13,6.34489e+16,74212.8,272.42,1745.87,65.0402
2010,0.005,169317,402519,404957,-12209.9,895,236,0.263687,2472.71,-2305.67,1.19611,1.27708e+09,2.8918e+12,1.82781e+16,7542.51,86.8476,10728.6,1894.57
10,0.006,169317,1.21003e+06,1.21603e+06,-33063.2,12489.5,2047.5,0.163938,2186.56,-2106.82,5.96533,1.33085e+10,1.43284e+13,6.4724e+16,78601.1,280.359,1580.17,58.8739
4010,0.005,169317,346887,349325,-13871.6,693,182.5,0.263348,2123.23,-2208.28,0.86753,1.03818e+09,2.67892e+12,1.81252e+16,6131.55,78.3042,13559.8,2844.35
6010,0.005,169317,325785,328222,-12804.5,555,150,0.27027,2114.25,-2106.02,0.742884,8.75415e+08,2.5559e+12,1.78192e+16,5170.27,71.9046,16707.9,3933.94
10,0.007,169317,1.23339e+06,1.23677e+06,-31621.6,11913.5,1851,0.15537,2045.51,-2030.26,6.10337,1.38608e+10,1.42824e+13,6.48227e+16,81863.1,286.117,1481.9,54.1281
2010,0.006,169317,387898,391033,-18369.7,769,201.5,0.262029,2507.38,-2582.75,1.10978,1.43575e+09,2.9754e+12,1.91903e+16,8479.65,92.085,9260.36,1573.25
4010,0.006,169317,340396,343531,-18442,592,155,0.261824,2086.03,-2478,0.82919,1.17101e+09,2.7731e+12,1.90228e+16,6916.1,83.1631,11717.2,2345.82
6010,0.006,169317,322857,325992,-16976.2,475,127.5,0.268421,2068.13,-2370.49,0.725621,9.81926e+08,2.65344e+12,1.87043e+16,5799.33,76.1534,14601.3,3281.61
10,0.008,169317,1.2363e+06,1.23947e+06,-27149.8,11581.5,1724,0.148858,1974.57,-1988.1,6.12056,1.42613e+10,1.42269e+13,6.57086e+16,84228.6,290.222,1414.39,51.7019
2010,0.007,169317,395758,398478,-18966.5,660,172,0.260606,2597.44,-2863.4,1.15617,1.61018e+09,3.01446e+12,1.93458e+16,9509.84,97.5184,7899.5,1260.39
4010,0.007,169317,349453,352174,-21688,505,131.5,0.260396,2054.73,-2740.96,0.882699,1.31445e+09,2.81327e+12,1.91573e+16,7763.26,88.1094,9995.28,1874.35
6010,0.007,169317,327320,330040,-18558.3,407,107.5,0.264128,2040.44,-2634.73,0.751969,1.09742e+09,2.68618e+12,1.88234e+16,6481.47,80.5076,12510.5,2643.37
6010,0.008,169317,325358,327460,-20622.7,357,95,0.266106,2113.22,-3603.79,0.74036,1.20702e+09,2.68242e+12,1.89048e+16,7128.77,84.4321,10830.7,2194.06
10,0.009,169317,1.2752e+06,1.27859e+06,-29938.5,11364.5,1646.5,0.144881,1917.45,-1955.58,6.35023,1.45486e+10,1.42469e+13,6.60088e+16,85925.2,293.13,1374.64,49.8033
2010,0.008,169317,387262,389364,-19616.8,585,150.5,0.257265,2740.1,-3870.09,1.10597,1.77766e+09,3.00718e+12,1.94489e+16,10499,102.465,6793.39,1039.07
4010,0.008,169317,348558,350659,-22885.8,444,115.5,0.260135,2140.98,-3710.66,0.877371,1.453e+09,2.81611e+12,1.92449e+16,8581.55,92.6366,8608.97,1540.42
4010,0.009,169317,367868,370010,-24701,386,104.5,0.270725,2301.95,-3874.86,0.991431,1.59022e+09,2.8031e+12,1.93287e+16,9391.97,96.9122,7484.35,1291.16
10,0.01,169317,1.30312e+06,1.30655e+06,-31550,11225.5,1592,0.14182,1859.92,-1933.91,6.51512,1.47716e+10,1.40466e+13,6.60803e+16,87242.3,295.368,1324.74,48.2764
6010,0.009,169317,342251,344393,-22039.4,309,86,0.278317,2259,-3729.58,0.840145,1.31788e+09,2.6659e+12,1.89646e+16,7783.53,88.2243,9434.72,1845.8
2010,0.009,169317,408488,410630,-21237,511,137,0.268102,2964.97,-4043.33,1.23129,1.95052e+09,2.98272e+12,1.95523e+16,11520,107.331,5862.53,867.155
10,0.011,169317,1.29157e+06,1.29499e+06,-30224.3,11162.5,1572,0.140829,1825,-1918.55,6.44694,1.49004e+10,1.38101e+13,6.54879e+16,88003.1,296.653,1285.58,46.9418
4010,0.01,169317,368262,369310,-23627.6,347,93.5,0.269452,2306.61,-4051.22,0.993748,1.70832e+09,2.79909e+12,1.93797e+16,10089.5,100.446,6712.17,1121.37
6010,0.01,169317,336022,337071,-20567.3,282,78,0.276596,2272.16,-3901.11,0.80336,1.40287e+09,2.65806e+12,1.90036e+16,8285.45,91.0244,8565.26,1631.94
2010,0.01,169317,397262,398311,-23207.5,467,124.5,0.266595,2977.71,-4178.8,1.16507,2.09814e+09,2.95907e+12,1.96282e+16,12391.8,111.318,5213.22,751.943
4010,0.011,169317,385225,386391,-21069.5,306,85,0.277778,2540.93,-2829.16,1.09397,1.84048e+09,2.82102e+12,1.9456e+16,10870,104.259,6049.39,969.512
2010,0.011,169317,409042,410208,-23835.6,417,113,0.270983,3265.2,-2984.59,1.23473,2.27039e+09,2.98969e+12,1.97961e+16,13409.1,115.798,4679.27,647.25
6010,0.011,169317,347013,348179,-18755.9,250,70.5,0.282,2485.29,-2657.7,0.868271,1.51098e+09,2.68216e+12,1.90648e+16,8923.95,94.4666,7732.12,1410.89
10,0.012,169317,1.29578e+06,1.2992e+06,-32449.8,11114.5,1550,0.139457,1772.76,-1889.31,6.4718,1.50778e+10,1.40981e+13,6.68161e+16,89050.5,298.413,1289.31,46.7631
10,0.013,169317,1.3029e+06,1.30632e+06,-35014.2,11081.5,1536.5,0.138655,1757.03,-1874.13,6.51387,1.51587e+10,1.41029e+13,6.6634e+16,89528.7,299.213,1279.43,46.0988
2010,0.012,169317,384047,385330,-27607.8,396,106,0.267677,3204.66,-2970.89,1.08697,2.43454e+09,3.0291e+12,2.03162e+16,14378.6,119.911,4269.62,577.376
4010,0.012,169317,368600,369883,-22831.1,290,79,0.272414,2472.79,-2768.28,0.995766,1.96122e+09,2.88332e+12,1.99254e+16,11583.1,107.625,5620.88,874.11
6010,0.012,169317,331021,332304,-21908.3,238,66.5,0.279412,2503.11,-2682.63,0.773789,1.59367e+09,2.66759e+12,1.91291e+16,9412.35,97.0172,7099.41,1272.26
